"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Fears for [[T]] [[N]] [[pension]] after talks Unions representing workers at [[Turner]]   Newall say they are 'disappointed' after talks with [[stricken]] parent [[firm]] Federal Mogul.","Fears for [[vd]] [[page]] [[retreat]] after talks Unions representing workers at [[Sanders]]   Newall say they are 'disappointed' after talks with [[influenced]] parent [[abiding]] Federal Mogul.",0.03187894821166992,0.552932620048523,2,3,2,238,"Successful"
"The Race is [[On]]: [[Second]] [[Private]] [[Team]] [[Sets]] [[Launch]] [[Date]] for [[Human]] Spaceflight ([[SPACE]].com) SPACE.com - TORONTO, [[Canada]] -- A [[second]]\team of rocketeers competing for the  #36;10 million [[Ansari]] [[X]] Prize, a [[contest]] for\[[privately]] funded suborbital [[space]] [[flight]], has [[officially]] announced the [[first]]\[[launch]] date for its [[manned]] rocket.","The Race is [[Through]]: [[Secondary]] [[Privatized]] [[Grupo]] [[Bets]] [[Undertook]] [[Monday]] for [[Manpower]] Spaceflight ([[MARGIN]].com) SPACE.com - TORONTO, [[Federal]] -- A [[secondary]]\team of rocketeers competing for the  #36;10 million [[Azeem]] [[sec]] Prize, a [[competitor]] for\[[quietly]] funded suborbital [[aerospace]] [[airways]], has [[solemnly]] announced the [[prime]]\[[startup]] date for its [[filled]] rocket.",0.030731618404388428,0.31226927042007446,3,3,3,769,"Failed"
"Ky. Company Wins Grant to Study Peptides ([[AP]]) [[AP]] - A company founded by a chemistry [[researcher]] at the [[University]] of Louisville won a [[grant]] to [[develop]] a [[method]] of producing better peptides, which are short chains of amino [[acids]], the building blocks of proteins.","Ky. Company Wins Grant to Study Peptides ([[AG]]) [[PENNSYLVANIA]] - A company founded by a chemistry [[investigators]] at the [[Tuition]] of Louisville won a [[dealership]] to [[enacted]] a [[practices]] of producing better peptides, which are short chains of amino [[nitrogen]], the building blocks of proteins.",0.05260026454925537,0.557519257068634,3,2,3,382,"Successful"
"Prediction Unit [[Helps]] Forecast Wildfires ([[AP]]) [[AP]] - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful [[maps]], figures and endless charts, but already he knows what the day will bring. [[Lightning]] will strike in places he expects. Winds will pick up, moist [[places]] will dry and [[flames]] will roar.","Prediction Unit [[Backing]] Forecast Wildfires ([[PENN]]) [[PENN]] - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful [[cards]], figures and endless charts, but already he knows what the day will bring. [[Newsflash]] will strike in places he expects. Winds will pick up, moist [[rentals]] will dry and [[ablaze]] will roar.",0.04278445243835449,0.5140494108200073,3,2,3,376,"Successful"
"Calif. Aims to Limit Farm-Related Smog ([[AP]]) [[AP]] - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air [[pollution]] from dairy cow manure.","Calif. Aims to Limit Farm-Related Smog ([[BP]]) [[PENNSYLVANIA]] - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air [[pollute]] from dairy cow manure.",0.10386669635772705,0.5251695513725281,3,2,3,176,"Successful"
"[[Open]] [[Letter]] Against British Copyright Indoctrination in [[Schools]] The [[British]] Department for [[Education]] and [[Skills]] (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next [[generation]] of [[British]] [[musicians]]. Unfortunately, they [[also]] teamed up with the [[music]] industry (EMI, and [[various]] artists) to make this [[popular]]. EMI has apparently negotiated their [[end]] well, so that [[children]] in our [[schools]] will now be indoctrinated about the illegality of [[downloading]] music.The [[ignorance]] and audacity of this got to me a little, so I wrote an [[open]] letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.","[[Commencement]] [[Cards]] Against British Copyright Indoctrination in [[Tuition]] The [[French]] Department for [[Apprenticeship]] and [[Eligibility]] (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next [[gil]] of [[Irish]] [[orchestras]]. Unfortunately, they [[meantime]] teamed up with the [[saxophone]] industry (EMI, and [[assortment]] artists) to make this [[prestigious]]. EMI has apparently negotiated their [[closing]] well, so that [[enfant]] in our [[agency]] will now be indoctrinated about the illegality of [[absolution]] music.The [[overconfidence]] and audacity of this got to me a little, so I wrote an [[opened]] letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.",0.05003327131271362,0.5192395448684692,3,2,3,657,"Successful"
"Loosing the [[War]] on [[Terrorism]] \\""[[Sven]] Jaschan, self-confessed [[author]] of the Netsky and Sasser [[viruses]], is\[[responsible]] for 70 [[percent]] of [[virus]] [[infections]] in 2004, [[according]] to a six-month\[[virus]] [[roundup]] [[published]] [[Wednesday]] by [[antivirus]] company Sophos.""\\""The 18-year-old Jaschan was [[taken]] into [[custody]] in [[Germany]] in [[May]] by [[police]] who\[[said]] he had admitted [[programming]] both the Netsky and Sasser [[worms]], [[something]]\[[experts]] at [[Microsoft]] [[confirmed]]. ([[A]] [[Microsoft]] [[antivirus]] [[reward]] [[program]] led to the\teenager's arrest.) [[During]] the five [[months]] [[preceding]] Jaschan's [[capture]], there\were at [[least]] 25 [[variants]] of Netsky and one of the port-scanning [[network]] [[worm]]\Sasser.""\\""[[Graham]] Cluley, [[senior]] [[technology]] [[consultant]] at Sophos, [[said]] it was staggeri ...\\","Loosing the [[Struggling]] on [[Panic]] \\""[[Jürgen]] Jaschan, self-confessed [[payer]] of the Netsky and Sasser [[epidemic]], is\[[accountant]] for 70 [[rates]] of [[hepatitis]] [[pneumonia]] in 2004, [[backed]] to a six-month\[[flu]] [[walmart]] [[disclosure]] [[Domingo]] by [[spam]] company Sophos.""\\""The 18-year-old Jaschan was [[waged]] into [[possession]] in [[Deutsche]] in [[Risk]] by [[coppers]] who\[[advised]] he had admitted [[scheduled]] both the Netsky and Sasser [[larval]], [[everythings]]\[[seasoned]] at [[Chavez]] [[assured]]. ([[both]] [[Vasquez]] [[mcafee]] [[wages]] [[plan]] led to the\teenager's arrest.) [[Over]] the five [[annum]] [[aforesaid]] Jaschan's [[seize]], there\were at [[cheaper]] 25 [[fluctuations]] of Netsky and one of the port-scanning [[netting]] [[consult]]\Sasser.""\\""[[Gould]] Cluley, [[principal]] [[innovators]] [[trustees]] at Sophos, [[saying]] it was staggeri ...\\",0.03568732738494873,0.30312567949295044,3,3,3,1857,"Failed"
"FOAFKey: FOAF, PGP, [[Key]] [[Distribution]], and [[Bloom]] [[Filters]] \\FOAF/LOAF  and [[bloom]] [[filters]] have a [[lot]] of [[interesting]] [[properties]] for [[social]]\[[network]] and whitelist [[distribution]].\\[[I]] [[think]] we can [[go]] one [[level]] [[higher]] [[though]] and [[include]] GPG/OpenPGP [[key]]\fingerpring [[distribution]] in the FOAF [[file]] for [[simple]] web-of-trust [[based]] key\[[distribution]].\\What if we used FOAF and [[included]] the PGP key [[fingerprint]](s) for identities?\This [[could]] mean a lot.  You [[include]] the PGP [[key]] [[fingerprints]] [[within]] the FOAF\[[file]] of your [[direct]] [[friends]] and then [[include]] a [[bloom]] [[filter]] of the PGP [[key]]\[[fingerprints]] of your [[entire]] whitelist (the [[source]] FOAF [[file]] [[would]] of [[course]] need\to be encrypted ).\\Your whitelist [[would]] be [[populated]] from the [[social]] network as your [[client]]\discovered [[new]] identit ...\\","FOAFKey: FOAF, PGP, [[Principal]] [[Exchanges]], and [[Blooms]] [[Catches]] \\FOAF/LOAF  and [[roses]] [[catches]] have a [[fortune]] of [[striking]] [[commodities]] for [[institutional]]\[[netting]] and whitelist [[exchanges]].\\[[me]] [[perceptions]] we can [[expenditure]] one [[ranking]] [[biggest]] [[except]] and [[insert]] GPG/OpenPGP [[decisive]]\fingerpring [[circulation]] in the FOAF [[deposits]] for [[usual]] web-of-trust [[footing]] key\[[circulation]].\\What if we used FOAF and [[insert]] the PGP key [[impersonations]](s) for identities?\This [[reckon]] mean a lot.  You [[insert]] the PGP [[principal]] [[identities]] [[per]] the FOAF\[[filing]] of your [[frank]] [[buddy]] and then [[involving]] a [[corsage]] [[screened]] of the PGP [[decisive]]\[[carvings]] of your [[total]] whitelist (the [[fount]] FOAF [[deposit]] [[owes]] of [[way]] need\to be encrypted ).\\Your whitelist [[knew]] be [[rallied]] from the [[libertarian]] network as your [[stockholders]]\discovered [[ny]] identit ...\\",0.03505736589431763,0.15232926607131958,3,3,3,2130,"Failed"
"E-mail scam [[targets]] [[police]] chief Wiltshire Police [[warns]] about ""phishing"" after its fraud [[squad]] [[chief]] was [[targeted]].","E-mail scam [[destinies]] [[nypd]] chief Wiltshire Police [[prudential]] about ""phishing"" after its fraud [[grupo]] [[managers]] was [[destinies]].",0.07873415946960449,0.6254777908325195,3,2,3,297,"Successful"
"Card fraud unit [[nets]] 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.","Card fraud unit [[netting]] 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",0.34369921684265137,0.6684287786483765,3,2,3,74,"Successful"
"Group to Propose New High-Speed [[Wireless]] [[Format]]  LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new [[wireless]] [[networking]] [[standard]] up to 10 times  the [[speed]] of the current [[generation]].","Group to Propose New High-Speed [[Boingo]] [[Sized]]  LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new [[atrium]] [[tenderloin]] [[regulations]] up to 10 times  the [[rate]] of the current [[manufactures]].",0.04550749063491821,0.5488395094871521,3,2,3,366,"Successful"
"Apple Launches [[Graphics]] [[Software]], [[Video]] [[Bundle]]  LOS ANGELES (Reuters) - [[Apple]] [[Computer]] Inc.&[[lt]];AAPL.O&[[gt]]; on  Tuesday began shipping a new program designed to let [[users]]  [[create]] real-time motion graphics and [[unveiled]] a discount  video-editing software [[bundle]] featuring its flagship [[Final]] Cut  [[Pro]] software.","Apple Launches [[Figures]] [[Gooey]], [[Film]] [[Parcel]]  LOS ANGELES (Reuters) - [[Abel]] [[Electronic]] Inc.&[[pinkerton]];AAPL.O&[[mitsubishi]]; on  Tuesday began shipping a new program designed to let [[shareholders]]  [[manufactured]] real-time motion graphics and [[disclosed]] a discount  video-editing software [[conglomerates]] featuring its flagship [[Closing]] Cut  [[Employment]] software.",0.03255826234817505,0.5120568871498108,3,2,3,712,"Successful"
"[[Dutch]] Retailer Beats Apple to [[Local]] [[Download]] Market  AMSTERDAM (Reuters) - Free Record Shop, a Dutch music  retail chain, beat Apple [[Computer]] Inc. to market on Tuesday  with the launch of a new [[download]] service in Europe's latest  battleground for digital [[song]] services.","[[Leyden]] Retailer Beats Apple to [[Arrondissement]] [[Acquittal]] Market  AMSTERDAM (Reuters) - Free Record Shop, a Dutch music  retail chain, beat Apple [[Computerized]] Inc. to market on Tuesday  with the launch of a new [[absolution]] service in Europe's latest  battleground for digital [[ditty]] services.",0.05494111776351929,0.5222472548484802,3,2,3,304,"Successful"
"[[Super]] ant colony hits [[Australia]] A giant 100km [[colony]] of [[ants]]  which has been discovered in Melbourne, Australia, could threaten local [[insect]] [[species]].","[[Concierge]] ant colony hits [[Dollar]] A giant 100km [[settlement]] of [[slippers]]  which has been discovered in Melbourne, Australia, could threaten local [[lice]] [[currency]].",0.03937500715255737,0.6860427260398865,3,2,3,287,"Successful"
"Socialites unite [[dolphin]] [[groups]] Dolphin groups, or ""[[pods]]"", rely on [[socialites]] to [[keep]] them from collapsing, [[scientists]] [[claim]].","Socialites unite [[nassau]] [[unions]] Dolphin groups, or ""[[cashews]]"", rely on [[celebrities]] to [[kept]] them from collapsing, [[colleges]] [[allegations]].",0.03766518831253052,0.6349507570266724,3,2,3,187,"Successful"
"[[Teenage]] T. rex's [[monster]] growth [[Tyrannosaurus]] [[rex]] achieved its massive size due to an enormous growth spurt during its adolescent years.","[[Kiddies]] T. rex's [[junkie]] growth [[Bigfoot]] [[vickie]] achieved its massive size due to an enormous growth spurt during its adolescent years.",0.03664124011993408,0.6679308414459229,3,2,3,252,"Successful"
"[[Scientists]] Discover [[Ganymede]] has a [[Lumpy]] [[Interior]] Jet [[Propulsion]] [[Lab]] -- [[Scientists]] have [[discovered]] [[irregular]] [[lumps]] beneath the [[icy]] [[surface]] of Jupiter's [[largest]] [[moon]], [[Ganymede]]. These irregular masses may be rock formations, supported by Ganymede's [[icy]] shell for billions of years...","[[Historians]] Discover [[Cassini]] has a [[Ragged]] [[Locally]] Jet [[Inertial]] [[Experiment]] -- [[Historians]] have [[showed]] [[unsuitable]] [[conglomerates]] beneath the [[ice]] [[superposition]] of Jupiter's [[finest]] [[cassini]], [[Galilei]]. These irregular masses may be rock formations, supported by Ganymede's [[cold]] shell for billions of years...",0.03552156686782837,0.0657198429107666,3,3,3,793,"Failed"
"[[Mars]] [[Rovers]] Relay Images Through Mars [[Express]] [[European]] [[Space]] [[Agency]] -- ESAs [[Mars]] [[Express]] has relayed pictures from one of NASA's [[Mars]] [[rovers]] for the [[first]] [[time]], as part of a set of interplanetary [[networking]] demonstrations.     [[The]] demonstrations [[pave]] the way for [[future]] [[Mars]] [[missions]] to draw on [[joint]] interplanetary [[networking]] [[capabilities]]...","[[Mon]] [[Stoke]] Relay Images Through Mars [[Showed]] [[Hernan]] [[Aeronautical]] [[Organise]] -- ESAs [[Bahr]] [[Said]] has relayed pictures from one of NASA's [[Hai]] [[aldershot]] for the [[principled]] [[dated]], as part of a set of interplanetary [[truss]] demonstrations.     [[This]] demonstrations [[developed]] the way for [[successive]] [[Zee]] [[mission]] to draw on [[mutual]] interplanetary [[lattice]] [[peculiarities]]...",0.029468536376953125,0.03946530818939209,3,3,3,854,"Failed"
"[[Rocking]] the [[Cradle]] of [[Life]] When did [[life]] [[begin]]? One evidential [[clue]] [[stems]] from the [[fossil]] records in Western [[Australia]], [[although]] whether these layered sediments are [[biological]] or [[chemical]] has [[spawned]] a [[spirited]] debate. [[Oxford]] [[researcher]], Nicola McLoughlin, [[describes]] some of the [[issues]] in contention.","[[Oscillating]] the [[Beds]] of [[Lifelong]] When did [[resided]] [[commenced]]? One evidential [[mystery]] [[stemmed]] from the [[coal]] records in Western [[Townsville]], [[albeit]] whether these layered sediments are [[pio]] or [[material]] has [[brought]] a [[gallant]] debate. [[British]] [[archeologist]], Nicola McLoughlin, [[portrayed]] some of the [[facet]] in contention.",0.05288916826248169,0.19098585844039917,3,3,3,697,"Failed"
"Storage, [[servers]] bruise HP earnings update Earnings per share rise compared with a year ago, but company misses analysts' expectations by a long shot.","Storage, [[gov]] bruise HP earnings update Earnings per share rise compared with a year ago, but company misses analysts' expectations by a long shot.",0.18488645553588867,0.5308699607849121,3,2,3,66,"Successful"
"IBM to hire even more new workers By the end of the year, the [[computing]] giant plans to have its biggest headcount since 1991.","IBM to hire even more new workers By the end of the year, the [[machines]] giant plans to have its biggest headcount since 1991.",0.3348103165626526,0.535169780254364,3,2,3,57,"Successful"
"Sun's [[Looking]] [[Glass]] Provides 3D [[View]] Developers get early [[code]] for [[new]] [[operating]] [[system]] 'skin' [[still]] being crafted.","Sun's [[Studying]] [[Lentils]] Provides 3D [[Position]] Developers get early [[crypto]] for [[innovative]] [[employment]] [[structured]] 'skin' [[then]] being crafted.",0.032898664474487305,0.0484653115272522,3,3,3,353,"Failed"
"[[IBM]] [[Chips]] May Someday Heal Themselves New technology applies electrical [[fuses]] to help identify and repair faults.","[[NASDAQ]] [[Cheetos]] May Someday Heal Themselves New technology applies electrical [[solder]] to help identify and repair faults.",0.03836792707443237,0.5358003973960876,3,2,3,161,"Successful"
"Some People Not Eligible to Get in on [[Google]] IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.","Some People Not Eligible to Get in on [[Via]] IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.",0.4131990671157837,0.5390453338623047,3,2,3,87,"Successful"
"Rivals Try to Turn Tables on Charles Schwab By MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...","Rivals Try to Turn Tables on Charles Schwab By MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...",0.9673781394958496,0.9673781394958496,2,2,3,1,"Skipped"
