"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Fears]] for T N [[pension]] after talks Unions representing workers at [[Turner]]   [[Newall]] say they are 'disappointed' after talks with stricken parent [[firm]] Federal Mogul.","[[Feaos]] for T N [[pensOon]] after talks Unions representing workers at [[Turnre]]   [[Nweall]] say they are 'disappointed' after talks with stricken parent [[fim]] Federal Mogul.",0.06147277355194092,0.6078016757965088,2,0,2,38,"Successful"
"The [[Race]] is On: [[Second]] [[Private]] Team Sets [[Launch]] Date for [[Human]] [[Spaceflight]] (SPACE.[[com]]) [[SPACE]].[[com]] - TORONTO, [[Canada]] -- A second\team of [[rocketeers]] [[competing]] for the  #[[36]];[[10]] million Ansari X [[Prize]], a contest for\[[privately]] [[funded]] suborbital [[space]] flight, has officially [[announced]] the [[first]]\[[launch]] [[date]] for its manned [[rocket]].","The [[Rake]] is On: [[Secod]] [[Privat]] Team Sets [[Lunch]] Date for [[wHuman]] [[Spaeflight]] (SPACE.[[cof]]) [[SPACrE]].[[coW]] - TORONTO, [[Cansada]] -- A second\team of [[roBcketeers]] [[cmpeting]] for the  #[[63]];[[01]] million Ansari X [[Prie]], a contest for\[[pirvately]] [[fudned]] suborbital [[pace]] flight, has officially [[anneunced]] the [[fist]]\[[luanch]] [[drte]] for its manned [[rockte]].",0.03244900703430176,0.0396462082862854,3,3,3,197,"Failed"
"Ky. Company Wins Grant to Study Peptides ([[AP]]) [[AP]] - A company founded by a chemistry [[researcher]] at the [[University]] of Louisville won a [[grant]] to develop a [[method]] of producing better peptides, which are short chains of amino [[acids]], the building blocks of [[proteins]].","Ky. Company Wins Grant to Study Peptides ([[P]]) [[P]] - A company founded by a chemistry [[resaercher]] at the [[Univesrity]] of Louisville won a [[greant]] to develop a [[methoU]] of producing better peptides, which are short chains of amino [[acRids]], the building blocks of [[porteins]].",0.052909135818481445,0.5336993932723999,3,2,3,61,"Successful"
"[[Prediction]] [[Unit]] Helps [[Forecast]] Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.","[[rediction]] [[nit]] Helps [[Froecast]] Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.",0.05962097644805908,0.5477118492126465,3,0,3,48,"Successful"
"Calif. Aims to Limit Farm-Related Smog (AP) [[AP]] - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.","Calif. Aims to Limit Farm-Related Smog (AP) [[A]] - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.",0.24580562114715576,0.5653425455093384,3,2,3,31,"Successful"
"[[Open]] Letter Against British [[Copyright]] Indoctrination in Schools [[The]] British Department for Education and [[Skills]] (DfES) recently [[launched]] a ""Music Manifesto"" campaign, with the ostensible intention of educating the next [[generation]] of British musicians. Unfortunately, they also [[teamed]] up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of [[downloading]] music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when [[writing]] to goverment representatives. But I hope you [[find]] it useful, and perhaps feel [[inspired]] to do something similar, if or when the same thing has happened in your area.","[[Opne]] Letter Against British [[CoXyright]] Indoctrination in Schools [[Tre]] British Department for Education and [[Sklls]] (DfES) recently [[lFunched]] a ""Music Manifesto"" campaign, with the ostensible intention of educating the next [[gneration]] of British musicians. Unfortunately, they also [[teaKmed]] up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of [[downloding]] music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when [[iriting]] to goverment representatives. But I hope you [[fin]] it useful, and perhaps feel [[nspired]] to do something similar, if or when the same thing has happened in your area.",0.07543295621871948,0.5379315614700317,3,0,3,128,"Successful"
"Loosing the War on Terrorism \\""Sven Jaschan, self-confessed [[author]] of the Netsky and [[Sasser]] [[viruses]], is\responsible for 70 percent of virus infections in 2004, according to a [[six-month]]\[[virus]] [[roundup]] published Wednesday by [[antivirus]] company [[Sophos]].""\\""The 18-year-old Jaschan was taken into custody in [[Germany]] in May by police who\said he had admitted [[programming]] both the [[Netsky]] and [[Sasser]] [[worms]], something\[[experts]] at [[Microsoft]] confirmed. (A Microsoft [[antivirus]] reward [[program]] led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 [[variants]] of Netsky and one of the [[port-scanning]] [[network]] [[worm]]\[[Sasser]].""\\""Graham Cluley, senior [[technology]] consultant at [[Sophos]], said it was [[staggeri]] ...\\","Loosing the War on Terrorism \\""Sven Jaschan, self-confessed [[Outhor]] of the Netsky and [[SaRser]] [[vYiruses]], is\responsible for 70 percent of virus infections in 2004, according to a [[six-montkh]]\[[viruD]] [[roundp]] published Wednesday by [[antivirsu]] company [[ophos]].""\\""The 18-year-old Jaschan was taken into custody in [[Germny]] in May by police who\said he had admitted [[programing]] both the [[NetsBky]] and [[asser]] [[worvms]], something\[[expets]] at [[MicrLosoft]] confirmed. (A Microsoft [[antivrius]] reward [[Oprogram]] led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 [[vairants]] of Netsky and one of the [[poIt-scanning]] [[netowrk]] [[owrm]]\[[Sasselr]].""\\""Graham Cluley, senior [[tecihnology]] consultant at [[SoOhos]], said it was [[stagger]] ...\\",0.037946879863739014,0.044084906578063965,3,3,3,194,"Failed"
"FOAFKey: FOAF, [[PGP]], Key Distribution, and Bloom Filters \\FOAF/LOAF  and bloom filters have a lot of interesting properties for [[social]]\network and whitelist distribution.\\I think we can [[go]] one level higher [[though]] and include [[GPG]]/[[OpenPGP]] [[key]]\fingerpring distribution in the FOAF [[file]] for [[simple]] web-of-trust [[based]] key\distribution.\\What if we used FOAF and [[included]] the [[PGP]] [[key]] [[fingerprint]](s) for identities?\This could mean a lot.  You [[include]] the [[PGP]] key [[fingerprints]] within the FOAF\file of your direct friends and then include a bloom filter of the PGP [[key]]\[[fingerprints]] of your entire whitelist (the [[source]] FOAF [[file]] [[would]] of course need\to be encrypted ).\\Your whitelist [[would]] be populated from the [[social]] network as your [[client]]\discovered new [[identit]] ...\\","FOAFKey: FOAF, [[PG]], Key Distribution, and Bloom Filters \\FOAF/LOAF  and bloom filters have a lot of interesting properties for [[spcial]]\network and whitelist distribution.\\I think we can [[o]] one level higher [[thoudgh]] and include [[pPG]]/[[OepnPGP]] [[ey]]\fingerpring distribution in the FOAF [[ifle]] for [[silmple]] web-of-trust [[base]] key\distribution.\\What if we used FOAF and [[include]] the [[PGp]] [[kay]] [[fingerprnit]](s) for identities?\This could mean a lot.  You [[izclude]] the [[PP]] key [[fingerprAnts]] within the FOAF\file of your direct friends and then include a bloom filter of the PGP [[keny]]\[[fiRgerprints]] of your entire whitelist (the [[soure]] FOAF [[fJle]] [[woulyd]] of course need\to be encrypted ).\\Your whitelist [[wuld]] be populated from the [[soical]] network as your [[cglient]]\discovered new [[idntit]] ...\\",0.03578752279281616,0.04042023420333862,3,3,3,209,"Failed"
"[[E-mail]] scam targets police chief Wiltshire Police warns about ""phishing"" after its fraud squad chief was targeted.","[[E-mial]] scam targets police chief Wiltshire Police warns about ""phishing"" after its fraud squad chief was targeted.",0.12885862588882446,0.6234228610992432,3,0,3,18,"Successful"
"Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.","Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",0.533510684967041,0.533510684967041,2,2,3,1,"Skipped"
