"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Fears]] for T N pension after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken [[parent]] [[firm]] Federal Mogul.","[[Fars]] for T N pension after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken [[parnt]] [[fim]] Federal Mogul.",0.0662413239479065,0.5465316772460938,2,0,2,55,"Successful"
"[[The]] Race is On: Second Private Team [[Sets]] [[Launch]] Date for [[Human]] Spaceflight ([[SPACE]].[[com]]) [[SPACE]].[[com]] - [[TORONTO]], Canada -- A second\team of [[rocketeers]] [[competing]] for the  #[[36]];[[10]] million Ansari X Prize, a contest for\[[privately]] [[funded]] [[suborbital]] space flight, has officially announced the [[first]]\launch date for its manned rocket.","[[Thne]] Race is On: Second Private Team [[Sts]] [[Launcr]] Date for [[Hman]] Spaceflight ([[SPACO]].[[coS]]) [[SPAE]].[[co]] - [[TORNOTO]], Canada -- A second\team of [[rPocketeers]] [[coApeting]] for the  #[[6]];[[1w]] million Ansari X Prize, a contest for\[[Kprivately]] [[fundd]] [[subrbital]] space flight, has officially announced the [[fist]]\launch date for its manned rocket.",0.03252989053726196,0.03422832489013672,3,3,3,198,"Failed"
"[[Ky]]. Company Wins Grant to [[Study]] Peptides ([[AP]]) AP - A company founded by a chemistry researcher at the University of Louisville won a [[grant]] to [[develop]] a method of [[producing]] better peptides, which are short chains of [[amino]] acids, the building [[blocks]] of proteins.","[[KR]]. Company Wins Grant to [[Stuy]] Peptides ([[P]]) AP - A company founded by a chemistry researcher at the University of Louisville won a [[grat]] to [[deevlop]] a method of [[producqing]] better peptides, which are short chains of [[mino]] acids, the building [[block]] of proteins.",0.11086589097976685,0.21319854259490967,3,3,3,134,"Failed"
"Prediction Unit Helps Forecast [[Wildfires]] (AP) AP - [[It's]] barely [[dawn]] when Mike Fitzpatrick [[starts]] his [[shift]] with a blur of [[colorful]] maps, figures and endless [[charts]], but [[already]] he knows what the [[day]] will [[bring]]. Lightning will strike in places he expects. [[Winds]] will pick up, [[moist]] [[places]] will [[dry]] and flames will [[roar]].","Prediction Unit Helps Forecast [[WildfiIes]] (AP) AP - [[I's]] barely [[dwn]] when Mike Fitzpatrick [[stats]] his [[shft]] with a blur of [[colorfuGl]] maps, figures and endless [[charst]], but [[alrXeady]] he knows what the [[dMy]] will [[brig]]. Lightning will strike in places he expects. [[Winsd]] will pick up, [[oist]] [[place]] will [[dyr]] and flames will [[rJar]].",0.08713632822036743,0.667414128780365,3,1,3,156,"Successful"
"Calif. Aims to Limit Farm-Related Smog (AP) AP - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.","Calif. Aims to Limit Farm-Related Smog (AP) AP - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.",0.7763031721115112,0.7763031721115112,2,2,3,1,"Skipped"
"[[Open]] Letter Against British Copyright Indoctrination in Schools [[The]] British Department for Education and [[Skills]] (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the [[next]] [[generation]] of British musicians. Unfortunately, they [[also]] teamed up with the music industry ([[EMI]], and various artists) to make this popular. [[EMI]] has apparently [[negotiated]] their [[end]] [[well]], so that children in our schools will now be [[indoctrinated]] about the [[illegality]] of downloading [[music]].The ignorance and audacity of this got to me a little, so I wrote an [[open]] letter to the [[DfES]] about it. Unfortunately, it's pedantic, as I [[suppose]] you have to be when [[writing]] to goverment representatives. But I hope you [[find]] it useful, and perhaps feel inspired to do something similar, if or when the same [[thing]] has happened in your area.","[[pen]] Letter Against British Copyright Indoctrination in Schools [[Teh]] British Department for Education and [[Skidls]] (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the [[nex]] [[generatoin]] of British musicians. Unfortunately, they [[aso]] teamed up with the music industry ([[zEMI]], and various artists) to make this popular. [[EIM]] has apparently [[neegotiated]] their [[Lend]] [[ell]], so that children in our schools will now be [[indoctrinted]] about the [[illegalit]] of downloading [[musiFc]].The ignorance and audacity of this got to me a little, so I wrote an [[pen]] letter to the [[DfEfS]] about it. Unfortunately, it's pedantic, as I [[uppose]] you have to be when [[wriing]] to goverment representatives. But I hope you [[Eind]] it useful, and perhaps feel inspired to do something similar, if or when the same [[thin]] has happened in your area.",0.0662413239479065,0.13359838724136353,3,3,3,366,"Failed"
"[[Loosing]] the War on Terrorism \\""[[Sven]] [[Jaschan]], self-confessed author of the [[Netsky]] and [[Sasser]] [[viruses]], is\responsible for 70 percent of virus [[infections]] in [[2004]], according to a six-month\virus roundup published Wednesday by antivirus company [[Sophos]].""\\""The 18-year-old Jaschan was taken into custody in Germany in [[May]] by police who\[[said]] he had admitted programming both the [[Netsky]] and Sasser worms, something\experts at [[Microsoft]] confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's [[capture]], there\were at least [[25]] variants of Netsky and one of the [[port-scanning]] [[network]] [[worm]]\[[Sasser]].""\\""Graham [[Cluley]], senior technology consultant at Sophos, said it was staggeri ...\\","[[Loosng]] the War on Terrorism \\""[[NSven]] [[Jaschain]], self-confessed author of the [[NeGtsky]] and [[Sassr]] [[virses]], is\responsible for 70 percent of virus [[infectios]] in [[2p004]], according to a six-month\virus roundup published Wednesday by antivirus company [[Sohpos]].""\\""The 18-year-old Jaschan was taken into custody in Germany in [[MaP]] by police who\[[sad]] he had admitted programming both the [[NetskHy]] and Sasser worms, something\experts at [[Microoft]] confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's [[captrue]], there\were at least [[52]] variants of Netsky and one of the [[portscanning]] [[networhk]] [[wom]]\[[Sasse]].""\\""Graham [[Culley]], senior technology consultant at Sophos, said it was staggeri ...\\",0.038285255432128906,0.040105998516082764,3,3,3,361,"Failed"
"[[FOAFKey]]: FOAF, PGP, [[Key]] Distribution, and Bloom Filters \\FOAF/[[LOAF]]  and bloom [[filters]] have a [[lot]] of interesting properties for [[social]]\network and whitelist distribution.\\I think we can go one level higher though and include [[GPG]]/[[OpenPGP]] key\[[fingerpring]] distribution in the FOAF [[file]] for simple web-of-trust [[based]] key\distribution.\\[[What]] if we used FOAF and [[included]] the [[PGP]] [[key]] fingerprint(s) for identities?\This could mean a lot.  You include the PGP [[key]] fingerprints within the FOAF\file of your [[direct]] [[friends]] and then include a bloom filter of the [[PGP]] key\fingerprints of your entire whitelist (the source FOAF [[file]] would of [[course]] [[need]]\to be encrypted ).\\[[Your]] whitelist would be populated from the [[social]] network as your client\discovered [[new]] identit ...\\","[[FOAKFey]]: FOAF, PGP, [[KeV]] Distribution, and Bloom Filters \\FOAF/[[LOeAF]]  and bloom [[filtesr]] have a [[qot]] of interesting properties for [[socal]]\network and whitelist distribution.\\I think we can go one level higher though and include [[GAG]]/[[OpenPPG]] key\[[fingerping]] distribution in the FOAF [[fiel]] for simple web-of-trust [[bsed]] key\distribution.\\[[Whan]] if we used FOAF and [[include]] the [[PtP]] [[ey]] fingerprint(s) for identities?\This could mean a lot.  You include the PGP [[ey]] fingerprints within the FOAF\file of your [[Rdirect]] [[friens]] and then include a bloom filter of the [[GPP]] key\fingerprints of your entire whitelist (the source FOAF [[fill]] would of [[cours]] [[Seed]]\to be encrypted ).\\[[our]] whitelist would be populated from the [[socgal]] network as your client\discovered [[ew]] identit ...\\",0.03520900011062622,0.03858292102813721,3,3,3,372,"Failed"
"[[E-mail]] scam targets police chief Wiltshire Police warns about ""phishing"" after its fraud squad chief was targeted.","[[E-mali]] scam targets police chief Wiltshire Police warns about ""phishing"" after its fraud squad chief was targeted.",0.12885862588882446,0.734681248664856,3,0,3,18,"Successful"
"Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.","Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",0.5886027812957764,0.5886027812957764,2,2,3,1,"Skipped"
