"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Fears for [[T]] N [[pension]] after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent [[firm]] Federal Mogul.","Fears for [[df]] N [[retreat]] after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent [[unflinching]] Federal Mogul.",0.06147277355194092,0.5216398239135742,2,0,2,136,"Successful"
"The Race is [[On]]: Second [[Private]] [[Team]] [[Sets]] [[Launch]] [[Date]] for [[Human]] Spaceflight ([[SPACE]].[[com]]) [[SPACE]].[[com]] - TORONTO, Canada -- A second\team of rocketeers [[competing]] for the  #36;10 million [[Ansari]] [[X]] Prize, a [[contest]] for\[[privately]] funded suborbital [[space]] flight, has [[officially]] announced the [[first]]\[[launch]] [[date]] for its manned rocket.","The Race is [[During]]: Second [[Soldier]] [[Factions]] [[Game]] [[Lancer]] [[Periods]] for [[Male]] Spaceflight ([[GEOGRAPHICAL]].[[pelo]]) [[PLANETS]].[[tko]] - TORONTO, Canada -- A second\team of rocketeers [[conflict]] for the  #36;10 million [[Nazir]] [[thirtieth]] Prize, a [[defiant]] for\[[covertly]] funded suborbital [[planets]] flight, has [[solemnly]] announced the [[prime]]\[[embark]] [[timeline]] for its manned rocket.",0.03244900703430176,0.056076884269714355,3,3,3,864,"Failed"
"Ky. Company Wins Grant to Study Peptides ([[AP]]) [[AP]] - A company founded by a chemistry researcher at the [[University]] of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.","Ky. Company Wins Grant to Study Peptides ([[PENNSYLVANIA]]) [[AG]] - A company founded by a chemistry researcher at the [[Brandeis]] of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",0.052909135818481445,0.5352253913879395,3,2,3,179,"Successful"
"[[Prediction]] Unit Helps [[Forecast]] Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.","[[Prophesied]] Unit Helps [[Contemplated]] Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.",0.05962097644805908,0.5377407073974609,3,0,3,133,"Successful"
"Calif. Aims to Limit Farm-Related Smog (AP) [[AP]] - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.","Calif. Aims to Limit Farm-Related Smog (AP) [[CP]] - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.",0.24580562114715576,0.6145622134208679,3,2,3,77,"Successful"
"Open Letter Against British [[Copyright]] Indoctrination in Schools The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of [[downloading]] music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.","Open Letter Against British [[Eula]] Indoctrination in Schools The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of [[absolution]] music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.",0.07543295621871948,0.590374231338501,3,0,3,160,"Successful"
"Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser [[viruses]], is\responsible for 70 percent of [[virus]] infections in 2004, according to a six-month\[[virus]] roundup published Wednesday by [[antivirus]] company Sophos.""\\""The 18-year-old Jaschan was taken into custody in [[Germany]] in May by police who\said he had admitted [[programming]] both the Netsky and Sasser [[worms]], something\[[experts]] at [[Microsoft]] confirmed. (A [[Microsoft]] [[antivirus]] [[reward]] [[program]] led to the\teenager's arrest.) [[During]] the five months preceding Jaschan's capture, there\were at least 25 [[variants]] of Netsky and one of the port-scanning [[network]] [[worm]]\Sasser.""\\""Graham Cluley, senior [[technology]] consultant at Sophos, said it was staggeri ...\\","Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser [[ebola]], is\responsible for 70 percent of [[chlamydia]] infections in 2004, according to a six-month\[[herpes]] roundup published Wednesday by [[feline]] company Sophos.""\\""The 18-year-old Jaschan was taken into custody in [[Bayern]] in May by police who\said he had admitted [[aired]] both the Netsky and Sasser [[crickets]], something\[[professionalism]] at [[Chavez]] confirmed. (A [[Chavez]] [[vaccination]] [[wage]] [[regimes]] led to the\teenager's arrest.) [[Whilst]] the five months preceding Jaschan's capture, there\were at least 25 [[diff]] of Netsky and one of the port-scanning [[netting]] [[slug]]\Sasser.""\\""Graham Cluley, senior [[jinn]] consultant at Sophos, said it was staggeri ...\\",0.037946879863739014,0.6635629534721375,3,1,3,820,"Successful"
"FOAFKey: FOAF, PGP, [[Key]] [[Distribution]], and [[Bloom]] [[Filters]] \\FOAF/[[LOAF]]  and [[bloom]] [[filters]] have a [[lot]] of [[interesting]] [[properties]] for [[social]]\[[network]] and whitelist [[distribution]].\\[[I]] [[think]] we can [[go]] one [[level]] [[higher]] [[though]] and [[include]] GPG/OpenPGP [[key]]\fingerpring [[distribution]] in the FOAF [[file]] for [[simple]] web-of-trust [[based]] key\distribution.\\What if we used FOAF and [[included]] the PGP [[key]] [[fingerprint]](s) for identities?\This [[could]] mean a lot.  You [[include]] the PGP [[key]] [[fingerprints]] within the FOAF\[[file]] of your [[direct]] [[friends]] and then [[include]] a [[bloom]] [[filter]] of the PGP [[key]]\[[fingerprints]] of your [[entire]] whitelist (the [[source]] FOAF [[file]] [[would]] of course need\to be encrypted ).\\Your whitelist [[would]] be [[populated]] from the [[social]] [[network]] as your [[client]]\[[discovered]] new identit ...\\","FOAFKey: FOAF, PGP, [[Principal]] [[Exchanges]], and [[Blooms]] [[Screenings]] \\FOAF/[[BAKERY]]  and [[roses]] [[catches]] have a [[quantity]] of [[thrilling]] [[asset]] for [[institutional]]\[[tenderloin]] and whitelist [[exchanges]].\\[[me]] [[reckon]] we can [[expenditure]] one [[ranking]] [[firmer]] [[unless]] and [[insert]] GPG/OpenPGP [[vital]]\fingerpring [[exchanges]] in the FOAF [[deposits]] for [[usual]] web-of-trust [[footing]] key\distribution.\\What if we used FOAF and [[insert]] the PGP [[decisive]] [[impersonations]](s) for identities?\This [[reckon]] mean a lot.  You [[comprised]] the PGP [[decisive]] [[identities]] within the FOAF\[[deposits]] of your [[instantaneously]] [[buddy]] and then [[involving]] a [[flores]] [[refinery]] of the PGP [[decisive]]\[[perceptions]] of your [[total]] whitelist (the [[onset]] FOAF [[deposits]] [[shall]] of course need\to be encrypted ).\\Your whitelist [[owes]] be [[overloaded]] from the [[institutional]] [[tenderloin]] as your [[stockholders]]\[[remarked]] new identit ...\\",0.03578752279281616,0.4628860354423523,3,3,3,2090,"Failed"
"E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its [[fraud]] squad chief was targeted.","E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its [[sham]] squad chief was targeted.",0.12885862588882446,0.557658851146698,3,0,3,56,"Successful"
"Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.","Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",0.533510684967041,0.533510684967041,2,2,3,1,"Skipped"
