"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Fears for [[T]] N [[pension]] after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken [[parent]] [[firm]] Federal Mogul.","Fears for [[df]] N [[retreat]] after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken [[mothers]] [[stabilised]] Federal Mogul.",0.042763710021972656,0.6282235383987427,2,0,2,174,"Successful"
"The Race is [[On]]: Second [[Private]] [[Team]] [[Sets]] [[Launch]] [[Date]] for [[Human]] Spaceflight ([[SPACE]].[[com]]) SPACE.[[com]] - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million [[Ansari]] [[X]] Prize, a [[contest]] for\[[privately]] funded suborbital [[space]] [[flight]], has [[officially]] announced the [[first]]\[[launch]] [[date]] for its [[manned]] rocket.","The Race is [[Through]]: Second [[Privatized]] [[Grupo]] [[Stake]] [[Lanza]] [[Currently]] for [[Humanitarian]] Spaceflight ([[LEEWAY]].[[ge]]) SPACE.[[agro]] - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million [[Khalid]] [[sec]] Prize, a [[competitor]] for\[[unlawfully]] funded suborbital [[margin]] [[aviation]], has [[solemnly]] announced the [[irst]]\[[startup]] [[tuesday]] for its [[met]] rocket.",0.03136259317398071,0.37309587001800537,3,3,3,840,"Failed"
"Ky. Company Wins Grant to Study Peptides ([[AP]]) [[AP]] - A company founded by a chemistry researcher at the [[University]] of Louisville won a [[grant]] to develop a [[method]] of producing better peptides, which are short chains of amino [[acids]], the building blocks of proteins.","Ky. Company Wins Grant to Study Peptides ([[PENNSYLVANIA]]) [[AG]] - A company founded by a chemistry researcher at the [[Tuition]] of Louisville won a [[granting]] to develop a [[practices]] of producing better peptides, which are short chains of amino [[vitamin]], the building blocks of proteins.",0.05251049995422363,0.5620200634002686,3,2,3,284,"Successful"
"[[Prediction]] [[Unit]] Helps [[Forecast]] Wildfires (AP) [[AP]] - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.","[[Prospect]] [[Team]] Helps [[Prospects]] Wildfires (AP) [[PENNSYLVANIA]] - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.",0.04732781648635864,0.6050248146057129,3,1,3,233,"Successful"
"Calif. Aims to Limit Farm-Related Smog ([[AP]]) [[AP]] - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.","Calif. Aims to Limit Farm-Related Smog ([[HAD]]) [[PENNSYLVANIA]] - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.",0.1493409276008606,0.680667519569397,3,2,3,127,"Successful"
"[[Open]] Letter Against British [[Copyright]] Indoctrination in [[Schools]] The British Department for Education and [[Skills]] (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the [[music]] industry (EMI, and various artists) to make this [[popular]]. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of [[downloading]] music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to [[goverment]] representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.","[[Openness]] Letter Against British [[Royalties]] Indoctrination in [[Institutional]] The British Department for Education and [[Power]] (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the [[orchestras]] industry (EMI, and various artists) to make this [[quintessential]]. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of [[absolution]] music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to [[dominion]] representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.",0.05907541513442993,0.5663770437240601,3,2,3,380,"Successful"
"[[Loosing]] the War on [[Terrorism]] \\""[[Sven]] Jaschan, self-confessed [[author]] of the Netsky and Sasser [[viruses]], is\[[responsible]] for 70 [[percent]] of [[virus]] [[infections]] in 2004, [[according]] to a six-month\[[virus]] [[roundup]] [[published]] Wednesday by [[antivirus]] company Sophos.""\\""The 18-year-old Jaschan was [[taken]] into [[custody]] in [[Germany]] in [[May]] by [[police]] who\[[said]] he had [[admitted]] [[programming]] both the Netsky and Sasser [[worms]], [[something]]\[[experts]] at [[Microsoft]] [[confirmed]]. ([[A]] [[Microsoft]] [[antivirus]] [[reward]] [[program]] [[led]] to the\teenager's arrest.) [[During]] the five [[months]] [[preceding]] Jaschan's [[capture]], there\were at [[least]] 25 [[variants]] of Netsky and one of the port-scanning [[network]] [[worm]]\Sasser.""\\""[[Graham]] Cluley, [[senior]] [[technology]] [[consultant]] at Sophos, said it was staggeri ...\\","[[Losses]] the War on [[Pentagon]] \\""[[Nilsson]] Jaschan, self-confessed [[bidder]] of the Netsky and Sasser [[chlamydia]], is\[[accountant]] for 70 [[fahrenheit]] of [[mcafee]] [[injuries]] in 2004, [[substantiated]] to a six-month\[[flu]] [[walmart]] [[issuance]] Wednesday by [[spam]] company Sophos.""\\""The 18-year-old Jaschan was [[waged]] into [[possession]] in [[Deutsche]] in [[Eventual]] by [[coppers]] who\[[testified]] he had [[agreed]] [[aired]] both the Netsky and Sasser [[maggot]], [[none]]\[[professionalism]] at [[Chavez]] [[reaffirmed]]. ([[every]] [[Redmond]] [[nasties]] [[wages]] [[piano]] [[resulted]] to the\teenager's arrest.) [[Toward]] the five [[annum]] [[seniors]] Jaschan's [[impounded]], there\were at [[cheaper]] 25 [[fluctuations]] of Netsky and one of the port-scanning [[netting]] [[ringworm]]\Sasser.""\\""[[Roberts]] Cluley, [[principal]] [[innovators]] [[trustees]] at Sophos, said it was staggeri ...\\",0.03661280870437622,0.4624013304710388,3,3,3,1869,"Failed"
"FOAFKey: FOAF, PGP, [[Key]] [[Distribution]], and [[Bloom]] [[Filters]] \\FOAF/[[LOAF]]  and [[bloom]] [[filters]] have a [[lot]] of [[interesting]] [[properties]] for [[social]]\[[network]] and whitelist [[distribution]].\\[[I]] [[think]] we can [[go]] one [[level]] [[higher]] [[though]] and [[include]] GPG/OpenPGP [[key]]\fingerpring [[distribution]] in the FOAF [[file]] for [[simple]] web-of-trust [[based]] key\distribution.\\What if we used FOAF and [[included]] the PGP [[key]] [[fingerprint]](s) for identities?\This [[could]] mean a lot.  You include the PGP [[key]] [[fingerprints]] [[within]] the FOAF\[[file]] of your [[direct]] [[friends]] and then [[include]] a [[bloom]] [[filter]] of the PGP [[key]]\[[fingerprints]] of your [[entire]] whitelist (the [[source]] FOAF [[file]] [[would]] of course need\to be encrypted ).\\Your whitelist [[would]] be [[populated]] from the [[social]] [[network]] as your [[client]]\discovered [[new]] identit ...\\","FOAFKey: FOAF, PGP, [[Principal]] [[Exchanges]], and [[Blooms]] [[Screenings]] \\FOAF/[[BAKERY]]  and [[flourishing]] [[catches]] have a [[fortune]] of [[thrilling]] [[commodities]] for [[institutional]]\[[netting]] and whitelist [[exchanges]].\\[[me]] [[opinion]] we can [[expenditure]] one [[ranking]] [[biggest]] [[except]] and [[insert]] GPG/OpenPGP [[vital]]\fingerpring [[exchanges]] in the FOAF [[deposits]] for [[usual]] web-of-trust [[footing]] key\distribution.\\What if we used FOAF and [[listed]] the PGP [[principal]] [[impersonations]](s) for identities?\This [[reckon]] mean a lot.  You include the PGP [[decisive]] [[identities]] [[toward]] the FOAF\[[filing]] of your [[flatly]] [[boys]] and then [[inserted]] a [[roses]] [[screened]] of the PGP [[decisive]]\[[perceptions]] of your [[total]] whitelist (the [[onset]] FOAF [[deposit]] [[must]] of course need\to be encrypted ).\\Your whitelist [[oughta]] be [[fills]] from the [[libertarian]] [[tenderloin]] as your [[stockholders]]\discovered [[ny]] identit ...\\",0.03530538082122803,0.2744191884994507,3,3,3,2059,"Failed"
"E-mail [[scam]] [[targets]] police chief Wiltshire Police [[warns]] about ""phishing"" after its [[fraud]] squad chief was [[targeted]].","E-mail [[swindle]] [[destinies]] police chief Wiltshire Police [[ultimatum]] about ""phishing"" after its [[sham]] squad chief was [[concentrated]].",0.09374547004699707,0.5565602779388428,3,0,3,209,"Successful"
"Card fraud unit [[nets]] 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.","Card fraud unit [[threaded]] 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",0.43595486879348755,0.5601316690444946,3,2,3,74,"Successful"
