"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Fears for [[T]] N [[pension]] after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent [[firm]] Federal Mogul.","Fears for [[df]] N [[remarriage]] after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent [[constants]] Federal Mogul.",0.0662413239479065,0.557863712310791,2,0,2,136,"Successful"
"The Race is [[On]]: Second [[Private]] [[Team]] [[Sets]] [[Launch]] [[Date]] for [[Human]] Spaceflight ([[SPACE]].[[com]]) [[SPACE]].[[com]] - TORONTO, Canada -- A second\team of rocketeers [[competing]] for the  #36;10 million [[Ansari]] [[X]] Prize, a [[contest]] for\[[privately]] funded suborbital [[space]] flight, has [[officially]] announced the [[first]]\[[launch]] [[date]] for its manned rocket.","The Race is [[During]]: Second [[Soldier]] [[Delorean]] [[Game]] [[Commenced]] [[Monday]] for [[Male]] Spaceflight ([[ORBIT]].[[tudo]]) [[PLANETS]].[[tko]] - TORONTO, Canada -- A second\team of rocketeers [[rivalry]] for the  #36;10 million [[Khaled]] [[thirtieth]] Prize, a [[pageant]] for\[[illegally]] funded suborbital [[planets]] flight, has [[solemnly]] announced the [[prime]]\[[lancer]] [[dated]] for its manned rocket.",0.03252989053726196,0.07392394542694092,3,3,3,864,"Failed"
"Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry [[researcher]] at the [[University]] of Louisville won a [[grant]] to develop a [[method]] of producing better peptides, which are short chains of amino acids, the building blocks of proteins.","Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry [[investigations]] at the [[Brandeis]] of Louisville won a [[subsidy]] to develop a [[practices]] of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",0.11086589097976685,0.6511709690093994,3,2,3,224,"Successful"
"[[Prediction]] Unit [[Helps]] Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful [[maps]], figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.","[[Foretell]] Unit [[Promotes]] Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful [[mapmaker]], figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.",0.08713632822036743,0.7554305195808411,3,0,3,175,"Successful"
"Calif. Aims to Limit Farm-Related Smog (AP) AP - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.","Calif. Aims to Limit Farm-Related Smog (AP) AP - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.",0.7763031721115112,0.7763031721115112,2,2,3,1,"Skipped"
"Open Letter Against British [[Copyright]] Indoctrination in Schools The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of [[downloading]] music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.","Open Letter Against British [[Perpetrator]] Indoctrination in Schools The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of [[fulfilling]] music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.",0.0662413239479065,0.5432906150817871,3,0,3,160,"Successful"
"Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser [[viruses]], is\responsible for 70 percent of [[virus]] infections in 2004, according to a six-month\[[virus]] roundup [[published]] Wednesday by antivirus [[company]] Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted [[programming]] both the Netsky and Sasser [[worms]], something\[[experts]] at [[Microsoft]] confirmed. (A [[Microsoft]] antivirus [[reward]] [[program]] led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 [[variants]] of Netsky and one of the port-scanning [[network]] [[worm]]\Sasser.""\\""Graham Cluley, senior [[technology]] consultant at Sophos, said it was staggeri ...\\","Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser [[ebola]], is\responsible for 70 percent of [[hepatitis]] infections in 2004, according to a six-month\[[influenza]] roundup [[unfurled]] Wednesday by antivirus [[airways]] Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted [[reschedule]] both the Netsky and Sasser [[crickets]], something\[[intellectuals]] at [[Chavez]] confirmed. (A [[Chavez]] antivirus [[wage]] [[regimes]] led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 [[fluctuation]] of Netsky and one of the port-scanning [[tenderloin]] [[lice]]\Sasser.""\\""Graham Cluley, senior [[whiz]] consultant at Sophos, said it was staggeri ...\\",0.038285255432128906,0.5787104964256287,3,0,3,780,"Successful"
"FOAFKey: FOAF, PGP, [[Key]] [[Distribution]], and [[Bloom]] [[Filters]] \\FOAF/[[LOAF]]  and [[bloom]] [[filters]] have a lot of [[interesting]] properties for [[social]]\[[network]] and whitelist distribution.\\I think we can [[go]] one [[level]] [[higher]] [[though]] and [[include]] GPG/OpenPGP key\fingerpring [[distribution]] in the FOAF [[file]] for simple web-of-trust [[based]] key\distribution.\\What if we used FOAF and [[included]] the PGP [[key]] [[fingerprint]](s) for identities?\This [[could]] mean a lot.  You include the PGP [[key]] [[fingerprints]] within the FOAF\[[file]] of your [[direct]] friends and then include a bloom [[filter]] of the PGP [[key]]\[[fingerprints]] of your [[entire]] whitelist (the [[source]] FOAF [[file]] would of [[course]] [[need]]\to be encrypted ).\\Your whitelist [[would]] be [[populated]] from the [[social]] [[network]] as your [[client]]\discovered new identit ...\\","FOAFKey: FOAF, PGP, [[Principal]] [[Exchanges]], and [[Corolla]] [[Grates]] \\FOAF/[[BAKERY]]  and [[daisies]] [[snares]] have a lot of [[enticing]] properties for [[institutional]]\[[tenderloin]] and whitelist distribution.\\I think we can [[budge]] one [[ranking]] [[superior]] [[if]] and [[consisted]] GPG/OpenPGP key\fingerpring [[circulation]] in the FOAF [[deposits]] for simple web-of-trust [[keystone]] key\distribution.\\What if we used FOAF and [[accounted]] the PGP [[principal]] [[etch]](s) for identities?\This [[reckon]] mean a lot.  You include the PGP [[decisive]] [[identities]] within the FOAF\[[depositing]] of your [[squarely]] friends and then include a bloom [[grate]] of the PGP [[decisive]]\[[perceptions]] of your [[total]] whitelist (the [[melting]] FOAF [[deposits]] would of [[internship]] [[compulsory]]\to be encrypted ).\\Your whitelist [[shall]] be [[filling]] from the [[libertarian]] [[grates]] as your [[stockholders]]\discovered new identit ...\\",0.03520900011062622,0.5194462537765503,3,2,3,1698,"Successful"
"E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its [[fraud]] squad chief was targeted.","E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its [[sham]] squad chief was targeted.",0.12885862588882446,0.557658851146698,3,0,3,56,"Successful"
"Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.","Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",0.5886027812957764,0.5886027812957764,2,2,3,1,"Skipped"
