"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Fears]] for T N [[pension]] after talks Unions representing workers at [[Turner]]   [[Newall]] say they are 'disappointed' after talks with [[stricken]] parent [[firm]] [[Federal]] Mogul.","[[FeaVs]] for T N [[pesnion]] after talks Unions representing workers at [[Tuner]]   [[ewall]] say they are 'disappointed' after talks with [[sricken]] parent [[ifrm]] [[Fedperal]] Mogul.",0.03187894821166992,0.6113009452819824,2,3,2,45,"Successful"
"The Race is [[On]]: [[Second]] [[Private]] [[Team]] [[Sets]] [[Launch]] Date for [[Human]] [[Spaceflight]] ([[SPACE]].[[com]]) [[SPACE]].com - TORONTO, Canada -- A second\[[team]] of [[rocketeers]] competing for the  #[[36]];10 million [[Ansari]] X [[Prize]], a [[contest]] for\privately [[funded]] [[suborbital]] [[space]] [[flight]], has [[officially]] [[announced]] the first\[[launch]] date for its [[manned]] [[rocket]].","The Race is [[nO]]: [[econd]] [[rivate]] [[Tea]] [[ets]] [[aunch]] Date for [[Huan]] [[SpaBceflight]] ([[SPAE]].[[co]]) [[ePACE]].com - TORONTO, Canada -- A second\[[tefm]] of [[roceteers]] competing for the  #[[63]];10 million [[nsari]] X [[Priz]], a [[conmtest]] for\privately [[fundde]] [[suborbitval]] [[sace]] [[fligt]], has [[oficially]] [[oannounced]] the first\[[launc]] date for its [[mbanned]] [[rocekt]].",0.030731618404388428,0.09619784355163574,3,3,3,185,"Failed"
"[[Ky]]. Company Wins Grant to [[Study]] [[Peptides]] ([[AP]]) [[AP]] - A company founded by a chemistry [[researcher]] at the [[University]] of Louisville won a [[grant]] to develop a [[method]] of producing better [[peptides]], which are short [[chains]] of amino [[acids]], the building blocks of [[proteins]].","[[y]]. Company Wins Grant to [[Stuyd]] [[Petides]] ([[PP]]) [[P]] - A company founded by a chemistry [[reseaurcher]] at the [[Unversity]] of Louisville won a [[grnt]] to develop a [[metUod]] of producing better [[peptdes]], which are short [[chainc]] of amino [[cids]], the building blocks of [[poteins]].",0.05260026454925537,0.6315063834190369,3,2,3,93,"Successful"
"[[Prediction]] [[Unit]] Helps Forecast [[Wildfires]] ([[AP]]) [[AP]] - [[It's]] [[barely]] [[dawn]] when Mike Fitzpatrick starts his shift with a blur of colorful [[maps]], figures and endless [[charts]], but already he knows what the day will [[bring]]. [[Lightning]] will [[strike]] in [[places]] he expects. [[Winds]] will pick up, [[moist]] places will [[dry]] and [[flames]] will [[roar]].","[[Preditcion]] [[Bnit]] Helps Forecast [[Wilfdires]] ([[A]]) [[A]] - [[Its']] [[barley]] [[danw]] when Mike Fitzpatrick starts his shift with a blur of colorful [[maDps]], figures and endless [[harts]], but already he knows what the day will [[rbing]]. [[Ligtning]] will [[strke]] in [[placed]] he expects. [[Wind]] will pick up, [[moit]] places will [[ry]] and [[lames]] will [[roaz]].",0.04278445243835449,0.4631795287132263,3,3,3,176,"Failed"
"Calif. Aims to Limit Farm-Related Smog ([[AP]]) [[AP]] - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air [[pollution]] from dairy [[cow]] manure.","Calif. Aims to Limit Farm-Related Smog ([[P]]) [[A]] - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air [[pMllution]] from dairy [[coxw]] manure.",0.10386669635772705,0.5884562730789185,3,2,3,43,"Successful"
"[[Open]] [[Letter]] Against British Copyright Indoctrination in [[Schools]] [[The]] British Department for Education and [[Skills]] ([[DfES]]) recently [[launched]] a ""Music Manifesto"" campaign, with the [[ostensible]] intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that [[children]] in our [[schools]] will now be [[indoctrinated]] about the [[illegality]] of [[downloading]] music.The [[ignorance]] and audacity of this got to me a [[little]], so I wrote an [[open]] letter to the DfES about it. Unfortunately, it's [[pedantic]], as I suppose you have to be when [[writing]] to goverment representatives. [[But]] I hope you [[find]] it [[useful]], and perhaps feel [[inspired]] to do something similar, if or when the same thing has [[happened]] in your [[area]].","[[Opn]] [[Leteer]] Against British Copyright Indoctrination in [[SchooFs]] [[he]] British Department for Education and [[Skill]] ([[DEfS]]) recently [[lauched]] a ""Music Manifesto"" campaign, with the [[Jstensible]] intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that [[chipdren]] in our [[chools]] will now be [[indoctrintaed]] about the [[llegality]] of [[downlaoding]] music.The [[ginorance]] and audacity of this got to me a [[litttle]], so I wrote an [[opeen]] letter to the DfES about it. Unfortunately, it's [[pedantci]], as I suppose you have to be when [[wbiting]] to goverment representatives. [[BKt]] I hope you [[fZnd]] it [[usfeul]], and perhaps feel [[inspred]] to do something similar, if or when the same thing has [[hapened]] in your [[aea]].",0.05003327131271362,0.1366201639175415,3,3,3,250,"Failed"
"Loosing the [[War]] on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and [[Sasser]] [[viruses]], is\responsible for 70 percent of virus [[infections]] in 2004, according to a [[six-month]]\[[virus]] roundup published Wednesday by [[antivirus]] company [[Sophos]].""\\""[[The]] [[18-year-old]] Jaschan was [[taken]] into custody in [[Germany]] in May by police who\said he had admitted [[programming]] both the [[Netsky]] and [[Sasser]] [[worms]], something\[[experts]] at [[Microsoft]] confirmed. (A [[Microsoft]] [[antivirus]] reward [[program]] led to the\[[teenager's]] arrest.) During the five months preceding Jaschan's capture, there\were at least 25 [[variants]] of Netsky and one of the [[port-scanning]] network [[worm]]\Sasser.""\\""Graham Cluley, senior [[technology]] consultant at [[Sophos]], said it was staggeri ...\\","Loosing the [[ar]] on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and [[iSasser]] [[viruse]], is\responsible for 70 percent of virus [[infetions]] in 2004, according to a [[six-mondh]]\[[vius]] roundup published Wednesday by [[antivjirus]] company [[SBophos]].""\\""[[Th]] [[18tyear-old]] Jaschan was [[take]] into custody in [[GerHmany]] in May by police who\said he had admitted [[progrdamming]] both the [[Nezsky]] and [[Sasseer]] [[wors]], something\[[experst]] at [[Micdrosoft]] confirmed. (A [[MicrosoSt]] [[antivTirus]] reward [[prgoram]] led to the\[[etenager's]] arrest.) During the five months preceding Jaschan's capture, there\were at least 25 [[varians]] of Netsky and one of the [[poYt-scanning]] network [[worL]]\Sasser.""\\""Graham Cluley, senior [[technoloy]] consultant at [[Sopho]], said it was staggeri ...\\",0.03568732738494873,0.04205363988876343,3,3,3,205,"Failed"
"FOAFKey: FOAF, [[PGP]], Key Distribution, and Bloom Filters \\FOAF/LOAF  and bloom filters have a lot of interesting properties for [[social]]\[[network]] and whitelist distribution.\\I think we can go one level higher [[though]] and include [[GPG]]/[[OpenPGP]] [[key]]\[[fingerpring]] distribution in the FOAF [[file]] for simple web-of-trust based key\distribution.\\What if we used FOAF and included the [[PGP]] key [[fingerprint]](s) for identities?\This could mean a lot.  You [[include]] the [[PGP]] key [[fingerprints]] within the FOAF\[[file]] of your direct [[friends]] and then include a bloom filter of the PGP [[key]]\[[fingerprints]] of your entire whitelist (the [[source]] FOAF file [[would]] of course need\to be [[encrypted]] ).\\Your whitelist would be populated from the [[social]] network as your [[client]]\discovered new [[identit]] ...\\","FOAFKey: FOAF, [[PP]], Key Distribution, and Bloom Filters \\FOAF/LOAF  and bloom filters have a lot of interesting properties for [[soial]]\[[nDetwork]] and whitelist distribution.\\I think we can go one level higher [[thNough]] and include [[GG]]/[[OepnPGP]] [[ke]]\[[fnigerpring]] distribution in the FOAF [[fill]] for simple web-of-trust based key\distribution.\\What if we used FOAF and included the [[PPG]] key [[fingierprint]](s) for identities?\This could mean a lot.  You [[incluvde]] the [[PpP]] key [[fingexprints]] within the FOAF\[[fle]] of your direct [[gfriends]] and then include a bloom filter of the PGP [[eky]]\[[fingetrprints]] of your entire whitelist (the [[sorce]] FOAF file [[woudl]] of course need\to be [[encryptd]] ).\\Your whitelist would be populated from the [[swocial]] network as your [[lient]]\discovered new [[dientit]] ...\\",0.03505736589431763,0.040973007678985596,3,3,3,193,"Failed"
"[[E-mail]] [[scam]] [[targets]] [[police]] chief Wiltshire [[Police]] [[warns]] about ""[[phishing]]"" after its fraud squad [[chief]] was [[targeted]].","[[E-maNl]] [[secam]] [[target]] [[poliec]] chief Wiltshire [[PoliAce]] [[warsn]] about ""[[pihshing]]"" after its fraud squad [[chNief]] was [[taregted]].",0.07873415946960449,0.4026034474372864,3,3,3,66,"Failed"
"Card fraud unit [[nets]] 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.","Card fraud unit [[nezts]] 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",0.34369921684265137,0.5647573471069336,3,2,3,31,"Successful"
