"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Fears]] for T N [[pension]] after talks Unions representing workers at [[Turner]]   [[Newall]] say they are 'disappointed' after talks with [[stricken]] [[parent]] [[firm]] [[Federal]] Mogul.","[[Feaos]] for T N [[pensOon]] after talks Unions representing workers at [[Turnre]]   [[Nweall]] say they are 'disappointed' after talks with [[strciken]] [[parnet]] [[fim]] [[Fdeeral]] Mogul.",0.042763710021972656,0.6151307821273804,2,3,2,50,"Successful"
"The Race is On: [[Second]] Private [[Team]] Sets [[Launch]] Date for [[Human]] [[Spaceflight]] ([[SPACE]].com) [[SPACE]].com - TORONTO, [[Canada]] -- A second\[[team]] of [[rocketeers]] [[competing]] for the  #[[36]];10 million Ansari X [[Prize]], a [[contest]] for\[[privately]] [[funded]] [[suborbital]] [[space]] [[flight]], has [[officially]] announced the [[first]]\[[launch]] [[date]] for its [[manned]] [[rocket]].","The Race is On: [[Secnd]] Private [[qTeam]] Sets [[LauZnch]] Date for [[Hman]] [[Spaceflaght]] ([[PACE]].com) [[PACE]].com - TORONTO, [[Canayda]] -- A second\[[tenam]] of [[rocmketeers]] [[compting]] for the  #[[63]];10 million Ansari X [[Prie]], a [[cotnest]] for\[[pivately]] [[fundde]] [[suborbitwl]] [[spacLe]] [[filght]], has [[fficially]] announced the [[rirst]]\[[launbch]] [[dZte]] for its [[manend]] [[rockcet]].",0.03136259317398071,0.06658697128295898,3,3,3,184,"Failed"
"Ky. Company Wins Grant to [[Study]] Peptides ([[AP]]) [[AP]] - A company founded by a chemistry [[researcher]] at the [[University]] of Louisville won a [[grant]] to develop a [[method]] of producing better peptides, which are short chains of amino [[acids]], the building blocks of [[proteins]].","Ky. Company Wins Grant to [[tSudy]] Peptides ([[A]]) [[A]] - A company founded by a chemistry [[reseacher]] at the [[UnOversity]] of Louisville won a [[gant]] to develop a [[methok]] of producing better peptides, which are short chains of amino [[cids]], the building blocks of [[proteirns]].",0.05251049995422363,0.515507698059082,3,2,3,64,"Successful"
"[[Prediction]] [[Unit]] [[Helps]] [[Forecast]] Wildfires (AP) [[AP]] - It's barely dawn when Mike Fitzpatrick [[starts]] his shift with a [[blur]] of colorful [[maps]], figures and endless [[charts]], but [[already]] he [[knows]] what the day will bring. [[Lightning]] will strike in places he expects. Winds will pick up, [[moist]] places will [[dry]] and [[flames]] will roar.","[[Prediccion]] [[Uniu]] [[eHlps]] [[FoTecast]] Wildfires (AP) [[A]] - It's barely dawn when Mike Fitzpatrick [[stats]] his shift with a [[blu]] of colorful [[emaps]], figures and endless [[chDarts]], but [[alrLeady]] he [[kows]] what the day will bring. [[Lijhtning]] will strike in places he expects. Winds will pick up, [[moizst]] places will [[dyr]] and [[falmes]] will roar.",0.04732781648635864,0.615961492061615,3,1,3,100,"Successful"
"Calif. Aims to Limit Farm-Related Smog ([[AP]]) [[AP]] - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.","Calif. Aims to Limit Farm-Related Smog ([[A]]) [[A]] - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.",0.1493409276008606,0.570973813533783,3,2,3,35,"Successful"
"[[Open]] [[Letter]] Against British [[Copyright]] Indoctrination in [[Schools]] [[The]] British [[Department]] for Education and Skills ([[DfES]]) recently [[launched]] a ""Music [[Manifesto]]"" campaign, with the [[ostensible]] intention of educating the next [[generation]] of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end [[well]], so that children in our schools will now be [[indoctrinated]] about the [[illegality]] of [[downloading]] music.The ignorance and [[audacity]] of this got to me a [[little]], so I wrote an [[open]] letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when [[writing]] to goverment representatives. But I [[hope]] you [[find]] it [[useful]], and perhaps feel [[inspired]] to do something [[similar]], if or when the same thing has [[happened]] in your [[area]].","[[OpHn]] [[LetteI]] Against British [[CopyGight]] Indoctrination in [[Schoods]] [[he]] British [[Deaprtment]] for Education and Skills ([[fES]]) recently [[launcehd]] a ""Music [[ManifOsto]]"" campaign, with the [[ostenible]] intention of educating the next [[Meneration]] of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end [[wfell]], so that children in our schools will now be [[indOoctrinated]] about the [[ilelgality]] of [[donloading]] music.The ignorance and [[Cudacity]] of this got to me a [[ilttle]], so I wrote an [[oeen]] letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when [[wrting]] to goverment representatives. But I [[ope]] you [[ind]] it [[usjful]], and perhaps feel [[insired]] to do something [[sUmilar]], if or when the same thing has [[hapened]] in your [[rea]].",0.05907541513442993,0.24316853284835815,3,3,3,276,"Failed"
"Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and [[Sasser]] [[viruses]], is\responsible for 70 percent of virus [[infections]] in 2004, according to a six-month\[[virus]] roundup [[published]] Wednesday by [[antivirus]] company [[Sophos]].""\\""The 18-year-old Jaschan was taken into custody in [[Germany]] in May by police who\said he had admitted [[programming]] both the [[Netsky]] and [[Sasser]] [[worms]], something\[[experts]] at [[Microsoft]] confirmed. (A [[Microsoft]] [[antivirus]] [[reward]] [[program]] led to the\[[teenager's]] arrest.) During the five months preceding Jaschan's capture, there\were at least 25 [[variants]] of Netsky and one of the [[port-scanning]] [[network]] [[worm]]\Sasser.""\\""Graham Cluley, senior [[technology]] consultant at [[Sophos]], said it was staggeri ...\\","Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and [[Sassenr]] [[virusves]], is\responsible for 70 percent of virus [[infection]] in 2004, according to a six-month\[[virsu]] roundup [[puYlished]] Wednesday by [[antiviru]] company [[Sophgos]].""\\""The 18-year-old Jaschan was taken into custody in [[GerDmany]] in May by police who\said he had admitted [[prgramming]] both the [[Nedsky]] and [[Saasser]] [[wors]], something\[[exAerts]] at [[Mcirosoft]] confirmed. (A [[iMcrosoft]] [[antiviPrus]] [[feward]] [[prorgam]] led to the\[[teCnager's]] arrest.) During the five months preceding Jaschan's capture, there\were at least 25 [[vairants]] of Netsky and one of the [[porBt-scanning]] [[netwCrk]] [[wor]]\Sasser.""\\""Graham Cluley, senior [[tegchnology]] consultant at [[ophos]], said it was staggeri ...\\",0.03661280870437622,0.04419374465942383,3,3,3,182,"Failed"
"FOAFKey: FOAF, [[PGP]], Key Distribution, and Bloom Filters \\FOAF/LOAF  and bloom filters have a lot of interesting properties for [[social]]\network and whitelist distribution.\\I think we can go one level higher though and [[include]] [[GPG]]/[[OpenPGP]] [[key]]\[[fingerpring]] distribution in the FOAF [[file]] for [[simple]] web-of-trust based key\distribution.\\What if we used FOAF and [[included]] the [[PGP]] key [[fingerprint]](s) for identities?\This could mean a lot.  You [[include]] the [[PGP]] key fingerprints within the FOAF\file of your direct [[friends]] and then include a bloom filter of the PGP [[key]]\[[fingerprints]] of your entire whitelist (the [[source]] FOAF [[file]] [[would]] of course need\to be encrypted ).\\Your whitelist [[would]] be populated from the [[social]] network as your [[client]]\discovered new [[identit]] ...\\","FOAFKey: FOAF, [[PPG]], Key Distribution, and Bloom Filters \\FOAF/LOAF  and bloom filters have a lot of interesting properties for [[Focial]]\network and whitelist distribution.\\I think we can go one level higher though and [[inculde]] [[GG]]/[[OpeHnPGP]] [[kea]]\[[fingnerpring]] distribution in the FOAF [[flie]] for [[smple]] web-of-trust based key\distribution.\\What if we used FOAF and [[ncluded]] the [[PPG]] key [[fingJrprint]](s) for identities?\This could mean a lot.  You [[inBclude]] the [[PP]] key fingerprints within the FOAF\file of your direct [[feriends]] and then include a bloom filter of the PGP [[eky]]\[[fhngerprints]] of your entire whitelist (the [[sourie]] FOAF [[flie]] [[woauld]] of course need\to be encrypted ).\\Your whitelist [[woud]] be populated from the [[sociOal]] network as your [[clirent]]\discovered new [[idenit]] ...\\",0.03530538082122803,0.04132223129272461,3,3,3,190,"Failed"
"[[E-mail]] scam targets police chief Wiltshire Police warns about ""[[phishing]]"" after its fraud squad chief was targeted.","[[E-maQil]] scam targets police chief Wiltshire Police warns about ""[[hishing]]"" after its fraud squad chief was targeted.",0.09374547004699707,0.6813673377037048,3,0,3,21,"Successful"
"Card fraud unit [[nets]] 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.","Card fraud unit [[neGts]] 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",0.43595486879348755,0.7029098272323608,3,2,3,31,"Successful"
